id,subquestion,claim,quote,source_url,tier,confidence,note
SQ-01-C011,SQ-01,"Anthropic documents that Level 1 Skill metadata (name+description, always loaded into every request's system prompt) costs approximately 100 tokens per skill",~100 tokens per Skill,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Közepes,How Skills work / table
SQ-01-C012,SQ-01,"Anthropic states that until a Skill is triggered, only its name and description occupy context, which is why many skills can be installed without a context penalty","This lightweight approach means you can install many Skills without context penalty: until a Skill is triggered, only its name and description occupy context.",https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Közepes,Level 1: Metadata (always loaded)
SQ-01-C013,SQ-01,"Anthropic's own bundled claude-api Skill shipped with a 1068-character description, exceeding the platform's own 1024-character hard limit, confirming the limit is an enforced validation rule rather than mere guidance",Actual: `1068`; allowed maximum: `1024`.,https://github.com/anthropics/skills/issues/1613,T6,Alacsony,Reproduction
SQ-01-C014,SQ-01,"Anthropic's Agent Skills spec hard-caps the description field: must be non-empty and a maximum of 1024 characters, with no XML tags allowed","Must be non-empty
- Maximum 1024 characters
- Cannot contain XML tags",https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Közepes,Skill structure / Field requirements / description
SQ-01-C015,SQ-01,"Anthropic's documented token-cost table shows Level 1 Skill metadata (name+description) is always loaded at startup at approximately 100 tokens per skill, while Level 2 instructions (SKILL.md body) load only when triggered and are meant to stay under 5k tokens","| **Level 1: Metadata**     | Always (at startup)     | ~100 tokens per Skill | `name` and `description` from YAML frontmatter                                                                             |
| **Level 2: Instructions** | When Skill is triggered | Under 5k tokens       | SKILL.md body with instructions and guidance                                                                               |",https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Közepes,How Skills work / table
SQ-01-C016,SQ-01,"The official MCP specification sets a SHOULD-level length limit of 1-128 characters on a tool's NAME, but defines the tool DESCRIPTION field only as free-text ('Human-readable description of functionality') with no numeric length or token limit anywhere in the spec",Tool names **SHOULD** be between 1 and 128 characters in length (inclusive).,https://modelcontextprotocol.io/specification/2025-11-25/server/tools,T1,Közepes,Tools / Data Types / Tool Names
SQ-01-C017,SQ-01,"A Hungarian-language technical blog states that Hungarian text of a given length typically consists of roughly twice as many tokens as the equivalent English text, because Hungarian uses special characters and letter combinations absent from English","Emiatt egy adott hosszúságú magyar szöveg általában nagyjából kétszer annyi tokenből áll össze, mint az angol nyelvű változata.",https://webdevcenter.hu/chatgpt-magyarul-dragabb/,T5,Alacsony,Tokenizáció más nyelveken
SQ-01-C018,SQ-01,"The same source states that for languages like Chinese, Japanese, Korean or Hindi the token-count disparity versus English can be even more drastic, up to 5-10 times as many tokens","Más nyelveknél, mint a kínai, japán, koreai, vagy hindi, a különbség még drasztikusabb lehet, akár 5-10-szeres is.",https://webdevcenter.hu/chatgpt-magyarul-dragabb/,T5,Alacsony,Tokenizáció más nyelveken
SQ-01-C019,SQ-01,"The source notes that a single accented Hungarian letter such as U-double-acute can by itself be split into two tokens, because OpenAI's tokenizer operates at the byte level and non-ASCII characters require more bytes","Például, egy „Ű"" betű önmagában is két tokenből áll össze.",https://webdevcenter.hu/chatgpt-magyarul-dragabb/,T5,Alacsony,Tokenizáció más nyelveken
SQ-01-C020,SQ-01,A NeurIPS 2025 paper on cross-lingual tokenizer inequities states that languages with high token premiums (needing more tokens for equivalent text) suffer lower throughput during training and higher costs at inference,having high token premiums leads to less throughput during training and increases costs at inference.,https://arxiv.org/abs/2510.21909,T2,Alacsony,"Abstract (per fetch tool) · forrás megjegyzése: degradált WebFetch-mentés, csak az idézőjeles rész garantáltan szó szerinti"
SQ-01-C021,SQ-01,The same paper reports that similarity between a tokenizer's training data and the test text does not explain token premium differences between languages,Similarity between training and test data does not impact token premiums,https://arxiv.org/abs/2510.21909,T2,Alacsony,"Findings (per fetch tool) · forrás megjegyzése: degradált WebFetch-mentés, csak az idézőjeles rész garantáltan szó szerinti"
SQ-01-C022,SQ-01,OpenAI's function-calling API enforces a hard validation error when a tool's top-level description field exceeds 1024 characters,Invalid 'tools[1].function.description': string too long. Expected a string with maximum length 1024...,https://community.openai.com/t/tool-calling-api-upgrade-1024-char-limit-is-limiting/951951,T6,Alacsony,"Forum post (per fetch tool) · forrás megjegyzése: degradált WebFetch-mentés, csak az idézőjeles rész garantáltan szó szerinti"
SQ-01-C023,SQ-01,"In Anthropic's own documented count_tokens example on claude-opus-5, a request with a system prompt and a short user message alone costs 14 input tokens, while the same request with one simple single-string-parameter tool definition (get_weather) added costs 403 input tokens","{ ""input_tokens"": 403 }",https://platform.claude.com/docs/en/build-with-claude/token-counting,T1,Közepes,Count tokens in messages with tools
SQ-01-C024,SQ-01,"Anthropic states that Claude 4.7 and later models (and Claude Mythos Preview) use a newer tokenizer under which the same input text produces approximately 30 percent more tokens than on earlier Claude models, so token counts must be re-measured per target model rather than reused across model generations",Claude 4.7 and later models and Claude Mythos Preview use a newer tokenizer. The same input text produces approximately 30 percent more tokens than on earlier models.,https://platform.claude.com/docs/en/build-with-claude/token-counting,T1,Közepes,Supported models
SQ-02-C001,SQ-02,"On BFCL (370 tools, BM25 scorer), a fixed shortlist of 20 tools achieves 87.5% coverage vs 90.8% at fixed K=50; an adaptive RL policy nearly matches K=50 (90.3%) while showing only 7.4 tools on average","On BFCL (370 real tools), it achieves 90.3±2.4% coverage at K=7.4, nearly matching FK=50 (90.8%) at 7× less depth.",https://arxiv.org/html/2605.24660v1,T4,Alacsony,Section 1 Introduction / 4.1 BFCL
SQ-02-C002,SQ-02,"On ToolBench (3251 tools, N=50 candidate sets), a fixed shortlist of 5 tools finds 0% of correct tools on hard queries (gold ranked 6th-20th) and 0% on very-hard queries (ranked 21+), even though it beats the adaptive agent on aggregate coverage (64.7% vs 61.9%)","On hard queries (gold ranked 6th–20th, n=76), the BoR agent increases to K=5.7±0.5 and finds 16.7±4.3%, while FK=5, the F₁ ablation, and FK=1 all find 0%.",https://arxiv.org/html/2605.24660v1,T4,Alacsony,Section 4.1 ToolBench
SQ-02-C003,SQ-02,"In a downstream tool-choice test with Claude Sonnet 4.6 on BFCL-style queries, fixed shortlist size directly moves selection accuracy: at medium difficulty (correct tool ranked 2nd-5th of the shown set) accuracy is 60.9% with a fixed list of 5 tools vs 76.0% with a fixed list of 20 tools","For medium queries (tool ranked 2nd–5th): BoR achieves 76.8% vs 60.9% (Fixed K=5), 72.0% (Fixed K=10), 76.0% (Fixed K=20).",https://arxiv.org/html/2605.24660v1,T4,Alacsony,Section 4.3 Downstream Tool-Choice Validation
SQ-02-C004,SQ-02,The paper cites prior work (LongFuncEval; Rabinovich and Anaby-Tavor) showing that function-calling accuracy degrades both as the tool catalog grows in size AND as semantically similar tools are added -- i.e. count and confusability are separately documented degradation drivers,"Meanwhile, LongFuncEval and Rabinovich and Anaby-Tavor show that function-calling accuracy degrades as tool catalogs grow or as semantically similar tools are added.",https://arxiv.org/html/2605.24660v1,T4,Alacsony,"Section 2.2 Tool Selection, Routing, and Presentation"
SQ-02-C005,SQ-02,"RAG-MCP is cited as demonstrating clear tool-selection degradation as the number of candidate MCP tools N grows from 1 to 11,100","RAG-MCP demonstrates clear degradation as N grows from 1 to 11,100 MCP tools, highlighting the need for depth control.",https://arxiv.org/html/2605.24660v1,T4,Alacsony,"Section 2.2 Tool Selection, Routing, and Presentation"
SQ-02-C006,SQ-02,"Across seven LLM zero-shot classification benchmarks with 11 to 102 classes, restricting the visible label space to k=2 to k=5 candidate labels per item consistently produced the largest macro-F1 gains, for Llama-3.1-70B, Gemma-2-27B, Qwen2.5-72B and Claude-3.5-Sonnet alike","Through empirical analysis across datasets, k reaches optimum at k=2 and k=5, consistently yielding highest average performance improvements.",https://arxiv.org/html/2502.08436v2,T4,Alacsony,Section 6.1 Selection
SQ-02-C007,SQ-02,"Smaller/less-capable open models benefit more from label-space reduction than larger closed models: Llama-3.1-70B gained 7.0% macro-F1 on average from LSR, Gemma-2-27B 5.1%, Qwen2.5-72B 4.9%, and Claude-3.5-Sonnet only 3.3%","On average, Llama-3.1-70B gains 7.0%, Gemma-2-27b gains 5.1%, Qwen2.5-72B gains 4.9%, and Claude-3.5-Sonnet gains 3.3% across all datasets.",https://arxiv.org/html/2502.08436v2,T4,Alacsony,Section 6.1.1 Comparison across Multiple Large Language Models
SQ-02-C008,SQ-02,"Simply re-ranking the full, unreduced label list already recovers most of the possible gain: label ranking alone accounts for 78.6% of the maximum performance improvement on average, while actually shrinking the label space accounts for the remaining 21.4%","On average, label ranking accounts for 78.6% of maximum performance gain, while label space reduction contributes to remaining 21.4%.",https://arxiv.org/html/2502.08436v2,T4,Alacsony,Section 6.1 Ranking
SQ-02-C009,SQ-02,"Label similarity (confusability), not raw class count, sets how large the effective label space needs to be: finer-grained/more-similar labels (Intent) required a larger optimal k than coarser labels (Scenario) over the same underlying domain","when labels are more semantically similar, larger label spaces may be necessary to effectively distinguish between closely related options",https://arxiv.org/html/2502.08436v2,T4,Alacsony,Section 6.1 Selection
SQ-02-C010,SQ-02,"With an already-small label space (K=11 classes, Mtop Domain dataset), all tested models already scored 95% or higher, so the benchmark was saturated and label-space reduction had no room to help",all models score 95% or higher on Mtop Domain and already saturate the benchmark,https://arxiv.org/html/2502.08436v2,T4,Alacsony,Section 6.1.1
SQ-02-C011,SQ-02,"Zep's official documentation advises that entity/edge type definitions should be mutually exclusive because overlapping or ambiguous descriptions cause inconsistent LLM classification, since the extraction model must pick one best-fit type per fact from the description text alone","Overlapping or ambiguous descriptions lead to inconsistent classification, because there is no single correct type for the fact.",https://help.getzep.com/customizing-graph-structure,T1,Közepes,Important Notes/Tips
SQ-02-C012,SQ-02,"Zep explicitly states this confusability problem is about description overlap, not name overlap: two types can share a name and still classify reliably if their descriptions are made genuinely distinct",Overlapping names are fine as long as the descriptions make the types genuinely distinct.,https://help.getzep.com/customizing-graph-structure,T1,Közepes,Important Notes/Tips
SQ-02-C013,SQ-02,"Holding the query fixed and only adding semantically-related distractor tools to the toolkit (mean 2.7 to 5.6 tools, i.e. about 3 similar tools added) caused function-calling accuracy to drop 1-8 percentage points relative across 9 leading models (Llama3.1-70B, Llama3.3-70B, DeepSeek-V2.5, Qwen2.5-72B, Granite3.1-8B, Claude-3.5-Haiku, Claude-3.5-Sonnet, GPT-4o-mini, o1-mini), a much smaller drop than the 8-19 percentage point drop from merely rephrasing the same query with the original small toolkit unchanged",Llama3.1-70B | 0.965 | 0.825 (-15%) | 0.925 (-4%),https://arxiv.org/html/2504.00914v1,T4,Alacsony,"Table 2, Section 3.2 Experimental Results · workshop-cikk, teljes szöveg nem volt kinyerhető"
SQ-02-C014,SQ-02,"The dominant failure modes from adding semantically similar distractor tools were wrong function selection and wrong parameter assignment to a correctly selected function, not syntax errors -- meaning the model's confusion was about WHICH near-identical tool/slot to pick, not about how to format a call",it is evident that agents struggle with both accurate function selection and parameter assignment,https://arxiv.org/html/2504.00914v1,T4,Alacsony,"Section 3.2, Agents' Sensitivity to Toolkit Expansion · workshop-cikk, teljes szöveg nem volt kinyerhető"
SQ-02-C015,SQ-02,"LongFuncEval reports a 7% to 85% function-calling performance drop as the number of tools in the catalog increases, across six open-weight and one closed-weight 128K-context model -- the widest reported spread of any tool-count-scaling result found, implying results vary enormously by model rather than following one universal curve",a performance drop of 7% to 85% as the number of tools increases,https://arxiv.org/abs/2505.10570,T4,Alacsony,Abstract
SQ-02-C016,SQ-02,"RAG-MCP reports that letting an LLM choose a tool directly from a large/growing MCP tool pool without any pre-filtering achieves only 13.62% tool-selection accuracy, versus 43.13% when a retrieval step first narrows the candidate set -- a 3.2x accuracy gap attributable to how many tools the LLM sees at once",Tool selection accuracy increased from 13.62% to 43.13%,https://arxiv.org/abs/2505.03275,T4,Alacsony,Abstract / Key findings
SQ-02-C017,SQ-02,"MetaTool found that correct-selection-rate (CSR) decreases for almost all tested LLMs as the shown tool-list length grows, with the steepest part of the decline concentrated between showing the top-5 and top-10 candidate tools rather than being spread evenly across the whole range","The CSR of almost all LLMs decreases as the length of the tool list increases, especially in the range from top 5 to top 10.",https://arxiv.org/html/2310.03128v4,T4,Alacsony,Figure 4 discussion
SQ-02-C018,SQ-02,"For MetaTool's ChatGLM2 model, correct tool-selection rate was 82.29% at a shown list of top-5 tools, dropped sharply to 56.19% at top-10 (a 26 point drop), then declined more gently to 48.07% at top-15 (a further 8 point drop) -- consistent with a steep-drop-then-flatten shape rather than a straight line",Top 5: 82.29% (ChatGLM2),https://arxiv.org/html/2310.03128v4,T4,Alacsony,Table 3
SQ-02-C019,SQ-02,"With retrieval-augmented few-shot selection (choosing relevant examples per label rather than a flat static list), Llama-2-70B kept classification accuracy high even at large label counts: 92.11 on Banking77 (77 classes), 91.73 on HWU64 (64 classes), 98.18 on Clinc150 (150 classes) at 10-shot -- i.e. count alone did not collapse accuracy once the prompt-construction method compensated for it","CLINC150 (150 classes): LLaMA-2 70B showed ""97.56"" in 5-shot, ""98.18"" in 10-shot",https://aclanthology.org/2023.genbench-1.14.pdf,T4,Alacsony,"Results on Classification Accuracy by Number of Labels · workshop-cikk, teljes szöveg nem volt kinyerhető"
SQ-02-C020,SQ-02,"LongICLBench found a genuine cliff, not a gradual decline: at 174 labels (the Discovery discourse-relation task) every tested LLM, including GPT-4-Turbo, collapsed to a score near zero because the models could not even understand the task definition at that label count","on the most challenging task Discovery with 174 labels, all the LLMs struggle to understand the task definition, thus reaching a performance close to zero",https://arxiv.org/html/2404.02060v2,T4,Alacsony,Abstract
SQ-02-C021,SQ-02,"At a moderate 77-class classification task (Banking77), small open-weight models already trail a frontier closed model by a wide margin: GPT-4-Turbo scored 84.4% vs Qwen-1.5-7B 67.8% and Mistral-7B 64.0% -- meaning the same category count that a frontier model handles reasonably is already a serious problem for a 7B open model","GPT-4 Turbo: ""84.4"" accuracy at 5 rounds",https://arxiv.org/html/2404.02060v2,T4,Alacsony,"Classification Accuracy Results by Dataset, BANKING77"
SQ-03-C001,SQ-03,A minimal (one-component) increase in prompt context yields the largest performance gain; further increases give only marginal gains.,"a minimal increase in prompt context yields the highest increase in performance, while further increases in context only tend to yield marginal performance increases thereafter",https://arxiv.org/abs/2603.25422,T4,Alacsony,Abstract
SQ-03-C002,SQ-03,Increasing prompt context sometimes decreases classification accuracy.,"Alarmingly, increasing prompt context sometimes decreases accuracy.",https://arxiv.org/abs/2603.25422,T4,Alacsony,Abstract
SQ-03-C003,SQ-03,"The study's prompt-context design varies three components independently: label description depth, instructional nudges, and few-shot examples, in a full factorial (2x2x2, 8-configuration) design; the minimal configuration has none of the three, the maximal has all three.",The leftmost configuration is the most minimal configuration where none of the three contextual information components are present. The next three configurations to the right of the most minimal configuration feature only one of the three components.,https://arxiv.org/abs/2603.25422,T4,Alacsony,Methods/Figure description
SQ-03-C004,SQ-03,Researchers should avoid prompt designs containing only the bare minimum information needed for the task; adding at least one context component is recommended over zero-context prompts.,"Our experiments with GPT 4o and Gemini 2.0 Flash, spanning all possible combinations of the three contextual information components, showed that researchers should avoid prompt designs which contain only the minimum information needed for task execution.",https://arxiv.org/abs/2603.25422,T4,Alacsony,Conclusion
SQ-03-C005,SQ-03,"Effects of prompt-context richness were heterogeneous across models (GPT-4o vs Gemini 2.0 Flash), tasks, and batch size, arguing against one-size-fits-all prompting rules.","our tests suggest substantial heterogeneity across models, tasks, and batch size, underlining the need for individual validation of each LLM coding task rather than reliance on general rules",https://arxiv.org/abs/2603.25422,T4,Alacsony,Abstract
SQ-03-C006,SQ-03,Sending a single text per LLM call (batch size 1) was not the most accurate configuration in more than half of the tested setups; larger batches were often better.,The results from experiments with GPT 4o and Gemini 2.0 Flash indicate that presenting a single input text to annotate in a single LLM call will not give the most accurate output in more than half of the configurations,https://arxiv.org/abs/2603.25422,T4,Alacsony,Results
SQ-03-C007,SQ-03,"In the emotionality-detection task, GPT-4o weighted F1 fell between approximately 0.75 and 0.90 across the different prompt-context configurations and batch sizes tested.",between approximately 0.75 and 0.90 across configurations and batch sizes,https://arxiv.org/abs/2603.25422,T4,Alacsony,Results (Study 2)
SQ-03-C008,SQ-03,"FollowBench: for GPT-4-Preview-1106, Hard Satisfaction Rate falls from 84.7% with 1 constraint (L1) to 61.9% with 5 constraints stacked in one instruction (L5).",the performance typically diminishes as we progress from L1 to L5 for almost all models. This trend coincides with the increasing complexity or stringent requirements associated with higher levels.,https://arxiv.org/abs/2310.20410,T4,Alacsony,"Results, Table 2 discussion"
SQ-03-C009,SQ-03,"FollowBench's multi-level design adds exactly one new constraint to the same base instruction per level (L1=1 constraint ... L5=5 constraints), isolating the effect of constraint count on satisfaction rate.",we introduce a Multi-level mechanism that incrementally adds a single constraint to the initial instruction at each increased level,https://arxiv.org/abs/2310.20410,T4,Alacsony,Abstract
SQ-03-C010,SQ-03,"Anthropic reports that precise refinements to tool descriptions (prompt-engineering the spec, not just adding length) drove Claude Sonnet 3.5 to state-of-the-art on SWE-bench Verified, dramatically reducing error rates.",Even small refinements to tool descriptions can yield dramatic improvements.,https://www.anthropic.com/engineering/writing-tools-for-agents,T4,Alacsony,Prompt-engineering your tool descriptions
SQ-03-C011,SQ-03,Anthropic's guidance frames sparse/ambiguous tool descriptions as a diagnosable failure mode: frequent tool errors on invalid parameters are read as a signal that the description needs to be clearer or needs better examples.,lots of tool errors for invalid parameters might suggest tools could use clearer descriptions or better examples,https://www.anthropic.com/engineering/writing-tools-for-agents,T4,Alacsony,Analyzing results
SQ-03-C012,SQ-03,"Anthropic's own tool-response experiment found a 'concise' response format used about one-third the tokens of the 'detailed' format (72 vs 206 tokens) for the same underlying data, by omitting low-value technical identifiers.","In the example shown in the article, detailed Slack thread responses contained 206 tokens, while concise responses consumed only 72 tokens.",https://www.anthropic.com/engineering/writing-tools-for-agents,T4,Alacsony,Returning meaningful context from your tools
SQ-03-C013,SQ-03,"Anthropic diagnosed a production tool-use bug (Claude appending the literal year 2025 to search queries, biasing results) and fixed it purely by refining the tool description text, not the code.",The improvement came through refining the tool description.,https://www.anthropic.com/engineering/writing-tools-for-agents,T4,Alacsony,Analyzing results
SQ-03-C014,SQ-03,Moving identical category-definition text from the system prompt into a schema/field description (with no change in content or length) cost GPT-4.1 and GPT-5.4 11-13 percentage points of accuracy even when the two instruction channels agreed.,schema placement underperformed system prompts by 11–13 percentage points,https://arxiv.org/html/2608.08254v1,T4,Alacsony,Abstract
SQ-03-C015,SQ-03,"When a schema/tool-field description contradicts the system prompt's category definition, accuracy can collapse: Claude Haiku 4.5 fell from 52.5% to 7% (a 45.5-point drop), showing the schema-level instruction can silently override the prompt-level one.","Claude Haiku 4.5 fell from 52.5% to 7%, indicating that schema instructions can override prompt instructions",https://arxiv.org/html/2608.08254v1,T4,Alacsony,Abstract
SQ-03-C016,SQ-03,"Adding a required intermediate reasoning field before the answer field inside a schema improved schema-only classification accuracy by 15-24 percentage points, more than any tested change to where the definition text was placed.","adding a required intermediate reasoning field before the label field inside the schema improved schema-only accuracy by 15–24 percentage points when headroom existed, exceeding system-prompt-only performance in every case tested",https://arxiv.org/html/2608.08254v1,T4,Alacsony,Abstract
SQ-03-C017,SQ-03,"Anthropic's official prompt-engineering guidance recommends telling Claude what to do instead of what not to do, e.g. replacing 'Do not use markdown' with a positive instruction about prose paragraphs.",Tell Claude what to do instead of what not to do.,https://eval.16x.engineer/blog/the-pink-elephant-negative-instructions-llms-effectiveness-analysis,T5,Alacsony,"A Better Approach: Positive Framing · a forrás maga jelzi: anekdotikus, nem kontrollált bizonyíték"
SQ-03-C018,SQ-03,Tool interfaces (natural-language descriptions and parameter schemas) remain human-oriented and often become a bottleneck when an agent must select among many candidate tools.,tool interfaces—including natural language descriptions and parameter schemas—remain largely human-oriented and often become a bottleneck,https://arxiv.org/html/2602.20426v1,T4,Alacsony,Introduction
SQ-04-C001,SQ-04,"Az Agent Skills Level 1 metaadata (name+description) minden kérésnél mindig betöltődik a rendszerpromptba, kb. 100 token/skill áron.",Level 1: Metadata | Always (at startup) | ~100 tokens per Skill | `name` and `description` from YAML frontmatter,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Magas,"Két független T1 forrás állítja ugyanezt (ld. SQ-04-C004, anthropic.com/engineering equipping-agents poszt)."
SQ-04-C002,SQ-04,"A Level 2 (SKILL.md törzs) csak akkor töltődik be, ha a skill aktiválódik, és ajánlottan 5000 token alatt marad.",Level 2: Instructions | When Skill is triggered | Under 5k tokens | SKILL.md body with instructions and guidance,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Magas,Két független T1 forrás állítja ugyanezt (ld. SQ-04-C005).
SQ-04-C003,SQ-04,"A Level 3+ (csatolt fájlok/erőforrások) csak igény szerint töltődnek be, addig nulla tokent fogyasztanak.","Level 3+: Resources | As needed | None until accessed | Bundled files. Reference files load into context when read. Scripts run through bash, and only their output enters context",https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Magas,Két független T1 forrás állítja ugyanezt (ld. SQ-04-C006).
SQ-04-C004,SQ-04,"Az Anthropic engineering blog megerősíti, hogy az első szinten minden telepített skill neve és leírása mindig betöltődik a rendszerpromptba.",First level (Always loaded): name and description of every installed skill into its system prompt,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,T1,Magas,"Ugyanazt a szintezést állítja, mint a platform.claude.com hivatalos doksi (SQ-04-C001) — két független T1 forrás."
SQ-04-C005,SQ-04,"Ha Claude relevánsnak ítéli a skillt, a teljes SKILL.md-t betölti a kontextusba — ez felel meg a Level 2 aktivált betöltésnek.","If Claude thinks the skill is relevant to the current task, it will load the skill by reading its full SKILL.md into context",https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,T1,Magas,"Ugyanazt állítja, mint SQ-04-C002 — két független T1 forrás."
SQ-04-C006,SQ-04,"Claude a harmadik szintű, csatolt erőforrásokat csak igény szerint böngészi/fedezi fel.",Claude can choose to navigate and discover only as needed,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,T1,Magas,"Ugyanazt állítja, mint SQ-04-C003 — két független T1 forrás."
SQ-04-C007,SQ-04,"A progresszív feltárás az Agent Skills alapvető tervezési elve: mint egy jól szervezett kézikönyv, előbb tartalomjegyzék, majd fejezetek, végül függelék szintjén tölti be az információt.","Progressive disclosure is the core design principle that makes Agent Skills flexible and scalable. Like a well-organized manual that starts with a table of contents, then specific chapters, and finally a detailed appendix, skills let Claude load information only as needed",https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,T1,Közepes,
SQ-04-C008,SQ-04,"A skill leírás mező (description) legfeljebb 1024 karakter lehet, és nem lehet üres.",Description Requirements — Must be non-empty — Maximum 1024 characters,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,T1,Közepes,
SQ-04-C009,SQ-04,A hivatalos best-practices dokumentáció szerint a SKILL.md törzsét 500 sor alatt kell tartani az optimális teljesítményhez.,Keep SKILL.md body under 500 lines for optimal performance,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices,T1,Közepes,"Más mértékegységben (sor), mint a PDF-útmutató 5000 szavas ajánlása (SQ-04-C010) — nem azonos mérőszám, ezért nem független megerősítés."
SQ-04-C010,SQ-04,A letölthető hivatalos Anthropic-útmutató szerint a SKILL.md-t 5000 szó alatt kell tartani.,"Keep SKILL.md under 5,000 words",https://resources.anthropic.com/hubfs/The-Complete-Guide-to-Building-Skill-for-Claude.pdf,T1,Közepes,"Más mértékegységben (szó), mint a best-practices doksi 500 soros ajánlása (SQ-04-C009)."
SQ-04-C011,SQ-04,100 sornál hosszabb referenciafájlokhoz a hivatalos ajánlás szerint tartalomjegyzéket kell tenni az elejére.,Reference files longer than 100 lines,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices,T1,Közepes,"Csak ez a rövid tagmondat szerepel szó szerint idézve a findings.md-ben, a teljes ajánlás (tartalomjegyzék-előírás) körülötte parafrázis."
SQ-04-C012,SQ-04,"A hivatalos best-practices doksi szerint a leírás mező azért kritikus, mert ez alapján választ Claude a potenciálisan 100+ elérhető skill közül.",The description is critical for skill selection: Claude uses it to choose the right Skill from potentially 100+ available Skills.,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices,T1,Közepes,"Ez tervezési feltételezés (100+ skill nagyságrend), nem mért felső korlát."
