azonosito,alkerdes,allitas_magyarul,idezet_eredeti,forras_url,tier,megbizhatosag
SQ-01-C011,SQ-01,"Az Obsidian hivatalos dokumentációja kimondja, hogy technikai okokból nem lehet megbízhatóan korlátozni a community pluginokat konkrét jogosultságokra vagy hozzáférési szintekre - a plugin öröklődik Obsidian teljes hozzáférését, beleértve a fájlrendszert","Due to technical limitations, Obsidian cannot reliably restrict plugins to specific permissions or access levels. This means that plugins will inherit Obsidian's access levels.",https://obsidian.md/help/plugin-security,T1,Közepes
SQ-01-C012,SQ-01,"Az Obsidian hivatalos dokumentációja szerint a community pluginok hozzáférhetnek a felhasználó számítógépén lévő fájlokhoz, csatlakozhatnak az internethez, és további programokat telepíthetnek",Community plugins can access files on your computer. Community plugins can connect to internet. Community plugins can install additional programs.,https://obsidian.md/help/plugin-security,T1,Közepes
SQ-02-C001,SQ-02,"A Kubernetes namespace elsősorban névtér-elkülönítést biztosít (az objektumnevek átfedhetnek névtereken átívelve, hasonlóan a mappákban lévő fájlokhoz), a tényleges biztonsági izolációt pedig a namespace-hez kötött RBAC és hálózati szabályzatok adják","Object names within a namespace can overlap with names in other namespaces, similar to files in folders. This allows tenants to name their resources without having to consider what other tenants are doing.",https://kubernetes.io/docs/concepts/security/multi-tenancy/,T1,Közepes
SQ-02-C002,SQ-02,A Kubernetes hivatalos dokumentációja szerint a control plane legfontosabb izolációs eleme az engedélyezés (authorization): az RBAC korlátozza a felhasználókat és service accountokat egy adott namespace-re,"The most important type of isolation for the control plane is authorization. If teams or their workloads can access or modify each others' API resources, they can change or disable all other types of policies thereby negating any protection those policies may offer.",https://kubernetes.io/docs/concepts/security/multi-tenancy/,T1,Közepes
SQ-02-C003,SQ-02,"A HashiCorp Vault namespace egy ténylegesen izolált 'mini-Vault' környezetet hoz létre saját login-útvonalakkal, szabályzatokkal, entitásokkal és tokenekkel, amit az adminisztrátorok API-n keresztül kényszerítenek ki (nem csak névtér, hanem a Vault motorja által kikényszerített határ)","When you create a namespace, you establish an isolated environment with separate login paths that functions as a mini-Vault instance within your Vault installation.",https://developer.hashicorp.com/vault/docs/enterprise/namespaces,T1,Közepes
SQ-02-C004,SQ-02,"A Vault gyerek-névterei (child namespace, pl. A/B/C útvonal) örökölhetnek elemeket a szülő névtértől, és a szülő névtér szabályzatokat is kikényszeríthet (assert) a gyerek névtér identitásaira - ez explicit, API-n konfigurálható kétirányú kapcsolat, nem automatikus","Children can inherit elements from their parent namespaces. For example, policies for a child namespace might reference entities or groups from the parent namespace. Parent namespaces can also assert policies on identities within a child namespace.",https://developer.hashicorp.com/vault/docs/enterprise/namespaces,T1,Közepes
SQ-02-C005,SQ-02,"Az Amazon S3 hivatalos dokumentációja kimondja, hogy az S3-nak nincs fizikai könyvtárhierarchiája, csak lapos kulcs-struktúrája van, és a 'mappa' csak az objektumkulcsok prefixéből következtetett logikai fogalom",The console is using object keys to infer a logical hierarchy. Amazon S3 has no physical hierarchy. Amazon S3 only has buckets that contain objects in a flat file structure.,https://docs.aws.amazon.com/AmazonS3/latest/userguide/walkthrough1.html,T1,Közepes
SQ-02-C006,SQ-02,"Az AWS hivatalos S3 útmutatója szerint egy adott 'mappához' (prefixhez) való hozzáférést az IAM policy s3:prefix feltétele (Condition/StringLike) korlátozza, amit az AWS jogosultsági motor kényszerít ki minden egyes kérésnél, nem maga az útvonal","For Alice to list the Development folder content, you must apply a policy to the user Alice that grants permission for the s3:ListBucket action on the companybucket bucket, provided the request includes the prefix Development/.",https://docs.aws.amazon.com/AmazonS3/latest/userguide/walkthrough1.html,T1,Közepes
SQ-02-C007,SQ-02,"Az AWS dokumentáció szerint egy explicit Deny szabályzat felülbírál minden más engedélyező szabályzatot (bucket policy vagy ACL), ezért a valódi elkülönítéshez explicit tiltó szabály kell, nem elég az, hogy egy felhasználó nem kapott engedélyt egy prefixre","If you really want to tighten the access permissions, you could explicitly deny Alice access to any other folders in the bucket. If there is any other policy (bucket policy or ACL) that grants Alice access to any other folders in the bucket, this explicit deny overrides those permissions.",https://docs.aws.amazon.com/AmazonS3/latest/userguide/walkthrough1.html,T1,Közepes
SQ-03-C001,SQ-03,"A git hivatalos dokumentációja kimondja, hogy egy fájl nem hozható vissza (negált mintával sem), ha a fájl valamelyik szülő könyvtára ki van zárva - a kizárás a fában lefelé visszavonhatatlan","It is not possible to re-include a file if a parent directory of that file is excluded. Git doesn't list excluded directories for performance reasons, so any patterns on contained files have no effect, no matter where they are defined.",https://raw.githubusercontent.com/git/git/master/Documentation/gitignore.adoc,T1,Közepes
SQ-03-C002,SQ-03,"A git .gitignore feloldási sorrendje explicit lefelé irányuló öröklődést ír le: a magasabb szintű (szülő könyvtárbeli) .gitignore mintákat felülírhatják az alacsonyabb szintű (gyerek könyvtárbeli) minták, egészen a fájlt tartalmazó könyvtárig","Patterns read from a .gitignore file in the same directory as the path, or in any parent directory (up to the top-level of the working tree), with patterns in the higher level files being overridden by those in lower level files down to the directory containing the file.",https://raw.githubusercontent.com/git/git/master/Documentation/gitignore.adoc,T1,Közepes
SQ-03-C003,SQ-03,"A POSIX ACL kanonikus man oldala szerint egy új fájl/könyvtár csak létrehozáskor örökli a szülő könyvtár default ACL-jét, mint saját access ACL-jét - ez lefelé irányuló, egyszeri (nem folyamatos, nem visszamenőleges) öröklődés","If a default ACL is associated with a directory, the mode parameter to the functions creating file objects and the default ACL of the directory are used to determine the ACL of the new object: 1. The new object inherits the default ACL of the containing directory as its access ACL.",https://man7.org/linux/man-pages/man5/acl.5.html,T1,Közepes
SQ-03-C004,SQ-03,"A Microsoft hivatalos dokumentációja szerint az NTFS öröklődés iránya szülőtől a gyerek felé mutat: a szülő mappa ACL-jének módosítása a gyerek ACL-jébe kerül át, amíg az öröklés engedélyezett",Any subsequent change to the parent folder's ACL causes the child's ACL to receive the inherited permissions.,https://learn.microsoft.com/en-us/troubleshoot/windows-server/windows-security/inherited-permissions-not-automatically-update,T1,Közepes
SQ-03-C005,SQ-03,"A Microsoft dokumentáció szerint mappa mozgatásakor az NTFS öröklött jogosultságok NEM frissülnek automatikusan, azaz az öröklődés nem folyamatosan újraszámolt kapcsolat, hanem eseményvezérelt (csak explicit ACL-módosításkor kényszerítődik ki)","When you move a file or folder, the ACL is also moved and is not changed in any way. Even when inheritance is enabled for this folder, the inherited permissions are not automatically updated.",https://learn.microsoft.com/en-us/troubleshoot/windows-server/windows-security/inherited-permissions-not-automatically-update,T1,Közepes
SQ-04-C001,SQ-04,"Tiago Forte a PARA módszerben pontosan négy kategóriát ír elő, azzal indokolva, hogy szerinte csak négy kategória fedi le az életünkben előforduló összes információt",there are only four categories that encompass all the information in your life,https://fortelabs.com/blog/para/,T1,Közepes
SQ-04-C002,SQ-04,"A Johnny.Decimal hivatalos dokumentációja explicit numerikus korlátot ír elő: legfeljebb 10 terület (area) és területenként legfeljebb 10 kategória, ez a rendszer központi elve","The 'no more than 10' concept is at the heart of Johnny.Decimal. When you start looking for something, there's no more than 10 area folders to choose from. Select one and ignore the rest. Now there's no more than 10 category folders to choose from.",https://johnnydecimal.com/10-19-concepts/11-core/11.01-introduction/,T1,Közepes
SQ-04-C003,SQ-04,"A Zettelkasten Method (zettelkasten.de) explicit azt tanácsolja, hogy ne hozzunk létre előre kategóriákat a jegyzetarchívumhoz, mert a kategorizálás felülről lefelé (top-down) építkező folyamat, ami arra kényszeríti a jegyzeteket, hogy illeszkedjenek a struktúrához","Don't prepare. Don't invent categories. Just let it come. ... Creating categories is a top-down process. You start with the structure and then file the material away. Notes will have to fit the structure. If they don't, there'll have to be a compromise.",https://zettelkasten.de/posts/no-categories/,T2,Közepes
SQ-04-C004,SQ-04,"A Zettelkasten Method oldala azzal indokolja a kategóriák elutasítását, hogy egy rögzített kategóriarendszer nem nő szervesen, egyszer épül fel és utána mereven használatban marad, míg az agy folyamatosan asszimilálja az új információt","Man-made structures, on the other hand, are not growing. They are built. A set of shared categories is something like that: it's built once and used forever. Rigid structures like this aren't likely to change.",https://zettelkasten.de/posts/no-categories/,T2,Közepes
SQ-05-C001,SQ-05,"Egy lektorált (Scientific Reports) tanulmány kis, on-device LLM-eken (BERT, RoBERTa, ALBERT, XLNet családok, legfeljebb 2GB méretig) mérve egyértelmű összefüggést talált a kategóriák száma és a besorolási teljesítmény között: kevés kategóriánál a modellek gyorsan (néhány epoch alatt) telítődnek, sok kategóriánál a tanulási görbe ellaposodik és tovább tart az optimum elérése","We have seen a clear and interesting relationship between the number of classes and classification performance of all the studied LLMs. First, for a small number of classes the trend resembles a logarithmic curve with models saturating after just a few epochs. Then, as the number of classes increases, the curve gets flatter and the models take longer to reach optimal performance.",https://www.nature.com/articles/s41598-024-63380-6,T2,Közepes
SQ-05-C002,SQ-05,"A tanulmány szerint minél több kategóriát kell megkülönböztetnie egy adott intent-feladatnak, annál fokozatosabb (lassabb) a tanulási görbe","Overall, we observed that a larger number of classes per intent implies a more gradual learning curve.",https://www.nature.com/articles/s41598-024-63380-6,T2,Közepes
SQ-05-C003,SQ-05,"Konkrét mért adat: 3 kategóriás feladatnál (query scope) a RoBERTa Large 84%, a BERT Large 83% balanced accuracy-t ért el (7, illetve 4 epoch alatt); 13 kategóriás feladatnál (information feature) a legjobb modell (RoBERTa Large) csak 62.8% balanced accuracy-t ért el, 15 epoch alatt","Overall, RoBERTa Large is the best performer, with a balanced accuracy of 84% that is reached after 7 epochs. Notably, BERT Large achieves only slightly worse performance (83%) in just 4 epochs. ... The best performing model for this task is RoBERTa Large with 62.8% Balanced Accuracy in 15 epochs",https://www.nature.com/articles/s41598-024-63380-6,T2,Közepes
SQ-05-C004,SQ-05,"Egy 2025-ös arXiv preprint (nem lektorált) szerint nagyobb/képesebb LLM-ek (Qwen2.5-72B, Claude-3.5-Sonnet) eredendően jobban kezelik a nagy címke-/kategóriateret, mint a kevésbé képes modellek, amelyek nagyobb javulást mutatnak, ha a választható kategóriák számát csökkentik","model capability plays a role, as we generally observe smaller performance improvements from more capable models like Qwen2.5-72B and Claude-3.5-Sonnet ... This leads us to hypothesize that more capable models can inherently handle larger label spaces more effectively. Conversely, less capable models show more substantial performance gains from LSR.",https://arxiv.org/abs/2502.08436,T4,Alacsony
SQ-05-C005,SQ-05,"Ugyanez a tanulmány konkrét számokkal méri a javulást négy modellen: Llama-3.1-70B átlagosan 7.0%, Gemma-2-27B 5.1%, Qwen2.5-72B 4.9%, Claude-3.5-Sonnet 3.3% macro-F1 javulást ér el a kategóriatér csökkentésétől hét, 11-102 kategóriát tartalmazó adathalmazon","On average, Llama-3.1-70B gains 7.0%, Gemma-2-27b gains 5.1%, Qwen2.5-72B gains 4.9%, and Claude-3.5-Sonnet gains 3.3% across all datasets.",https://arxiv.org/abs/2502.08436,T4,Alacsony
SQ-05-C006,SQ-05,"A tanulmányban a legkisebb (11 kategóriás, Mtop Domain) adathalmazon minden tesztelt modell (Llama-3.1-70B, Gemma-2-27B, Qwen2.5-72B, Claude-3.5-Sonnet) elérte vagy meghaladta a 95%-os pontosságot, azaz a kategóriaszám csökkenésével a pontosság már telítődött (ceiling)",all models score 95% or higher on Mtop Domain and already saturate the benchmark,https://arxiv.org/abs/2502.08436,T4,Alacsony
SQ-06-C001,SQ-06,"Lawrie és szerzőtársai 2007-es, emberi alanyokon (n=128, ebből 80 fejezte be mind a 12 kérdést, 62.5%) végzett vizsgálatában a teljes szavas (full-word) azonosítók szignifikánsan jobb leírási pontszámot (description rating) eredményeztek, mint az egybetűs azonosítók, mindhárom szignifikáns esetben; az abbreviált azonosítók két esetben szintén szignifikánsan jobbak voltak az egybetűseknél, de a teljes szavas és a rövidített azonosítók között sosem volt szignifikáns különbség","In all three cases, full-word identifiers lead to significantly better description ratings than single-letter identifiers. In two cases, abbreviated identifiers also lead to significantly better description ratings than the single letters. There is never a statistical difference between full words and abbreviations",https://www.cs.kent.edu/~jmaletic/cs63902/Papers/Lawrie07.pdf,T2,Közepes
SQ-06-C002,SQ-06,"A vizsgálat mintamérete: 192 fő kezdte el a kérdőívet, 128 válaszolt legalább egy kérdésre, 80 fő (62.5%) fejezte be mind a 12 kérdést","In all, 192 people started the survey. Of these 64 filled in only the demographic information. Thus, 128 participants answered at least one question. Eighty of these completed all twelve questions.",https://www.cs.kent.edu/~jmaletic/cs63902/Papers/Lawrie07.pdf,T2,Közepes
SQ-06-C003,SQ-06,"A vizsgálat szerint a tapasztalatlanabb programozókat jobban sújtja az uninformatív azonosító, mint a tapasztaltakat (a variáns hatása szignifikánsan nagyobb az alacsonyabb szakértelmű csoportnál)",uninformative identifiers hurt the inexperienced more than the experienced (p = 0.0032),https://www.cs.kent.edu/~jmaletic/cs63902/Papers/Lawrie07.pdf,T2,Közepes
SQ-06-C004,SQ-06,"Egy 2025-os arXiv preprint szerint az azonosítónevek eltávolítása/elhomályosítása (obfuscation) még a nagy, jól teljesítő modelleknél is jelentős pontosságcsökkenést okoz a ClassEval benchmarkon: a GPT-4o 76.6%-ról 70.2%-ra esik Pass@1-ben, a DeepSeek V3 90.0%-ról 69.3%-ra esik","GPT-4o drops from 76.6% to 70.2% Pass@1 under Alpha, and DeepSeek V3 falls drastically from 90.0% to 69.3% under Ambiguity",https://arxiv.org/html/2510.03178,T4,Alacsony
SQ-06-C005,SQ-06,"Ugyanez a tanulmány a LiveCodeBench-en még drámaibb, 20-30% feletti pontosságesést mért az azonosítónevek elhomályosításakor; például a Llama 4 Maverick 80.2%-ról 56.4%-ra esett","Nearly all models suffer double-digit drops, with reductions exceeding 20–30% in several obfuscation settings. For example, Llama 4 Maverick falls from 80.2% to just 56.4%.",https://arxiv.org/html/2510.03178,T4,Alacsony
SQ-07-C001,SQ-07,"A MITRE hivatalos CWE-22 definíciója szerint az útvonal-bejárás (path traversal) akkor jön létre, ha a program külső bemenetből épít fel egy útvonalat, ami egy korlátozott szülő könyvtár alatt kellene maradjon, de a speciális elemeket (pl. '../') nem semlegesíti megfelelően","The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-41773,T1,Közepes
SQ-07-C002,SQ-07,"A CVE-2021-41773 (Apache HTTP Server 2.4.49, kritikus, CVSS 9.8) egy naiv útvonal-normalizációs hiba volt, amivel URL-eket lehetett az Alias-szerű direktívák által konfigurált könyvtárakon kívüli fájlokra feloldani, és élesben ki is használták; a 2.4.50-es javítás hiányos volt (lásd CVE-2021-42013)","A flaw was found in a change made to path normalization in Apache HTTP Server 2.4.49. An attacker could use a path traversal attack to map URLs to files outside the directories configured by Alias-like directives. ... This issue is known to be exploited in the wild. ... The fix in Apache HTTP Server 2.4.50 was found to be incomplete, see CVE-2021-42013.",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-41773,T1,Közepes
SQ-07-C003,SQ-07,"A CVE-2024-43093 (Android ExternalStorageProvider) egy Unicode-normalizálási eltérésen alapuló megkerülés volt: a fájlútvonal-szűrő, ami érzékeny könyvtárakhoz való hozzáférést lett volna hivatott megakadályozni, hibás unicode-normalizálás miatt megkerülhető volt","In shouldHideDocument of ExternalStorageProvider.java, there is a possible bypass of a file path filter designed to prevent access to sensitive directories due to incorrect unicode normalization.",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-41773,T1,Közepes
SQ-07-C004,SQ-07,"A CVE-2025-54387 (ipx npm csomag) a naiv prefix-illesztés klasszikus hibáját mutatja: a megengedett könyvtár ellenőrzése nyers string-prefix összehasonlítással történt elválasztó karakter nélkül, ezért egy 'public123' nevű könyvtár hozzáférhető volt, amikor csak a 'public' lett volna engedélyezve",the approach used to check whether a path is within allowed directories is vulnerable to path prefix bypass when the allowed directories do not end with a path separator. This occurs because the check relies on a raw string prefix comparison.,https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-41773,T1,Közepes
SQ-07-C005,SQ-07,"A Zip Slip nevű sebezhetőségi osztályt (tetszőleges fájlírás archívum-kicsomagoláskor, útvonal-bejárással preparált bejegyzésnevek, pl. '../../evil.sh' útján) a Snyk biztonsági csapata fedezte fel és hozta nyilvánosságra 2018. június 5-én, és ezrekre menő projektet érintett (HP, Amazon, Apache, Pivotal és mások), tíz+ konkrét CVE-vel dokumentálva (pl. CVE-2018-1002200 - CVE-2018-1002209, CVE-2018-1000544, CVE-2007-4559)","Zip Slip is a widespread critical archive extraction vulnerability, allowing attackers to write arbitrary files on the system, typically resulting in remote command execution. It was discovered and responsibly disclosed by the Snyk Security team ahead of a public disclosure on 5th June 2018, and affects thousands of projects, including ones from HP, Amazon, Apache, Pivotal and many more.",https://raw.githubusercontent.com/snyk/zip-slip-vulnerability/master/README.md,T1,Közepes
SQ-07-C006,SQ-07,"A CVE-2021-32803 (node-tar) egy klasszikus symlink-alapú megkerülés: a program egy könyvtárat hozott létre és gyorsítótárazott, majd egy azonos nevű symlinkkel felülírva megkerülhető volt a symlink-ellenőrzés, mert az ellenőrzés csak könyvtár-létrehozáskor futott le, nem minden fájlműveletnél","By first creating a directory, and then replacing that directory with a symlink, it was thus possible to bypass node-tar symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-37701,T1,Közepes
SQ-07-C007,SQ-07,"A CVE-2021-37701 (node-tar) kimondottan a case-insensitive (kis-nagybetűt nem megkülönböztető) fájlrendszereken jelentkező névütközést dokumentálja: egy 'FOO' nevű könyvtár és egy rá következő 'foo' nevű symlink összezavarta a belső könyvtár-cache-t, mert a symlink létrehozása nem számított cache-találatnak, így egy azt követő fájlbejegyzés a symlink céljába került","a similar confusion could arise on case-insensitive filesystems. If a tar archive contained a directory at FOO, followed by a symbolic link named foo, then on case-insensitive file systems, the creation of the symbolic link would remove the directory from the filesystem, but not from the internal directory cache, as it would not be treated as a cache hit.",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-37701,T1,Közepes
SQ-07-C008,SQ-07,"A CVE-2021-37712 (node-tar) konkrétan Unicode-normalizálási eltérést dokumentál: két különböző karaktersorozat, amelyek ugyanarra a normalizált Unicode-értékre oldódnak fel (és Windows 8.3 rövid útvonalak esetén hasonlóan), lehetővé tették egy könyvtár symlinkkel való felülírását","This logic was insufficient when extracting tar files that contained both a directory and a symlink with names containing unicode values that normalized to the same value. Additionally, on Windows systems, long path portions would resolve to the same file system entities as their 8.3 ""short path"" counterparts.",https://services.nvd.nist.gov/rest/json/cves/2.0?cveId=CVE-2021-37701,T1,Közepes
A01,SQ-01,"A basic-memory nevű rendszerben a markdown fájl az elsődleges tároló, az adatbázis csak másodlagos index.",The system follows a file-first architecture where all knowledge is represented in standard Markdown files and the database serves as a secondary index.,https://docs.basicmemory.com/reference/technical-information,T1,Magas
A02,SQ-01,A basic-memory a markdown fájlokat tekinti az igazság forrásának; bármely szövegszerkesztővel és git-tel kezelhetők.,"Plain Markdown files store all knowledge, making it accessible with any text editor and easy to version with git.",https://docs.basicmemory.com/reference/technical-information,T1,Magas
A03,SQ-01,"A basic-memory egy adott markdown fájlon belül tény-szintű egységeket (Observations) különít el, és ezeket saját permalink-kel indexeli az adatbázisban.",Observations Categorized facts and information about entities,https://docs.basicmemory.com/reference/technical-information,T1,Magas
A04,SQ-01,"A basic-memory alapértelmezés szerint helyi SQLite indexet használ a fájlok mellett, szerver nélkül.",Just files plus a local SQLite index. No servers required.,https://raw.githubusercontent.com/basicmachines-co/basic-memory/main/README.md,T1,Magas
A05,SQ-01,"A basic-memory hibrid (teljes szöveges + vektoros) szemantikus keresést kínál FastEmbed embeddingekkel, SQLite vagy Postgres felett.","Semantic vector search. Find notes by meaning, not just keywords. Hybrid full-text + vector ranking with FastEmbed embeddings, on SQLite or Postgres.",https://raw.githubusercontent.com/basicmachines-co/basic-memory/main/README.md,T1,Magas
A06,SQ-01,"A mem0 platform alapértelmezett vektortárolója a Qdrant, ha nincs külön konfiguráció megadva.","If no configuration is supplied, a default configuration will be applied, and Qdrant will be used as the vector database.",https://docs.mem0.ai/components/vectordbs/overview,T1,Magas
A07,SQ-01,"A mem0 Graph Memory funkciója natívan, beépített motorral fut; nem igényel külön telepített gráf-adatbázist (pl. Neo4j).","Graph Memory is built in . There is no Neo4j, Memgraph, or other graph store to deploy, no connection strings to manage, and nothing to enable.",https://docs.mem0.ai/platform/features/graph-memory,T1,Magas
A08,SQ-01,A mem0 korábbi verziói külső gráf-adatbázist (pl. Neo4j) kötöttek be a Graph Memory funkcióhoz; ezt váltotta le a natív motor.,Graph Memory is the native successor to Mem0's earlier graph store integration. Earlier versions connected an external graph database (Neo4j and others) and exposed a relations field.,https://docs.mem0.ai/platform/features/graph-memory,T1,Magas
A09,SQ-01,"A Zep (hosztolt termék) motorja a Graphiti; a Zep saját, proprietary gráf-adatbázist (Context Graph Engine) használ, nem markdown fájlokat.","Under the hood, Zep is powered by a proprietary graph database -- the Context Graph Engine -- purpose-built for millions of context graphs with low-latency retrieval, so production deployments don't require a separate third-party graph database.",https://raw.githubusercontent.com/getzep/graphiti/main/README.md,T1,Magas
A10,SQ-01,"A nyílt forráskódú Graphiti könyvtár működéséhez külön gráf-adatbázis háttér (Neo4j, FalkorDB, Amazon Neptune vagy Kuzu) szükséges.",Neo4j 5.26 / FalkorDB 1.1.2 / Amazon Neptune Database Cluster or Neptune Analytics Graph + Amazon OpenSearch,https://raw.githubusercontent.com/getzep/graphiti/main/README.md,T1,Magas
A11,SQ-01,"A Zep saját (arXiv preprint, nem lektorált) mérése szerint a Zep 94.8%-ot ért el a DMR benchmarkon a MemGPT 93.4%-ával szemben -- gyártói öntesztelés.","In the DMR benchmark, which the MemGPT team established as their primary evaluation metric, Zep demonstrates superior performance (94.8% vs 93.4%).",https://arxiv.org/abs/2501.13956,T4,"Alacsony (gyártói öntesztelés, nem lektorált)"
A12,SQ-01,"A Letta archival memory funkciója egy vektor-adatbázis a Letta API-ban, nem markdown fájl.",Archival memory is a general-purpose vector DB in the Letta API,https://docs.letta.com/guides/core-concepts/memory/archival-memory,T1,Magas
A13,SQ-01,"A Letta archival memory szemantikusan kereshető adatbázis, ahol az ágensek tényeket, tudást és információt tárolnak hosszú távú visszakereséshez.","Archival memory is a semantically searchable database where agents can store facts, knowledge, and information for long-term retrieval.",https://docs.letta.com/guides/core-concepts/memory/archival-memory,T1,Magas
A14,SQ-01,"Az Anthropic hivatalos memory tool-ja egyszerű fájlkönyvtárban tárol -- nincs beépített tény-szintű indexelés vagy chunking, a Claude maga végzi a fájlműveleteket.","The memory tool lets Claude store and retrieve information across conversations in a directory of memory files. Claude can create, read, update, and delete files that persist between sessions, building up knowledge over time without keeping everything in the context window.",https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,T1,Magas
A15,SQ-01,"Az Anthropic memory tool kliensoldalon fut: a Claude fájlműveleteket kér, az alkalmazás hajtja végre azokat, és a fejlesztő dönt a tárolás módjáról.","The memory tool operates client-side: Claude requests file operations, and your application executes them. You control where and how the data is stored through your own infrastructure.",https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,T1,Magas
A16,SQ-01,"A Claude Code CLAUDE.md fájljai markdown fájlok, amelyeket a Claude minden munkamenet elején egészben beolvas.","CLAUDE.md files are markdown files that give Claude persistent instructions for a project, your personal workflow, or your entire organization. You write these files in plain text; Claude reads them at the start of every session.",https://code.claude.com/docs/en/memory,T1,Magas
A17,SQ-01,"A Claude Code auto memory-ja munkamenetenként csak az első 200 sort vagy 25KB-ot tölti be -- méret szerint vágva, nem tény-szintű indexeléssel/kereséssel.",Loaded into Every session (first 200 lines or 25KB),https://code.claude.com/docs/en/memory,T1,Magas
A18,SQ-01,"Az Obsidian a jegyzet-tulajdonságokat (frontmatter) a fájl tetején, YAML formátumban tárolja.",Properties are stored in YAML format at the top of the file.,https://raw.githubusercontent.com/obsidianmd/obsidian-help/master/en/Editing%20and%20formatting/Properties.md,T1,Magas
