claim_id,claim,source_ids,quote,quote_location,subquestion,volatility,confidence,verdict,note
SQ-02-C005,"WAL mode's documented core claim: readers do not block writers and a writer does not block readers, so reading and writing proceed concurrently.",src_2026-09-05_sqlite-org_write-ahead-logging,WAL provides more concurrency as readers do not block writers and a writer does not block readers. Reading and writing can proceed concurrently.,"Section 1. Overview, advantages list item 2",SQ-02,stable,,,
SQ-02-C006,"Even in WAL mode there is only ever one writer at a time, because there is only one WAL file.",src_2026-09-05_sqlite-org_write-ahead-logging,"However, since there is only one WAL file, there can only be one writer at a time.",Section 2.2 Concurrency,SQ-02,stable,,,
SQ-02-C007,"A checkpoint in WAL mode must stop at the WAL offset any active reader still needs, so a long-running read transaction stalls the checkpointer (it resumes progress after that reader ends).",src_2026-09-05_sqlite-org_write-ahead-logging,Thus a long-running read transaction can prevent a checkpointer from making progress. But presumably every read transaction will eventually end and the checkpointer will be able to continue.,Section 2.2 Concurrency,SQ-02,stable,,,
SQ-02-C008,"Checkpoint starvation: if a WAL database has many concurrent overlapping readers such that there is always at least one active reader, no checkpoint can ever complete and the WAL file grows without bound.",src_2026-09-05_sqlite-org_write-ahead-logging,"However, if a database has many concurrent overlapping readers and there is always at least one active reader, then no checkpoints will be able to complete and hence the WAL file will grow without bound.",Section 6. Avoiding Excessively Large WAL Files -- Checkpoint starvation,SQ-02,stable,,,
SQ-02-C009,"The default automatic-checkpoint threshold is 1000 pages of WAL growth (about 4MB), after which SQLite runs a PASSIVE checkpoint on the next COMMIT.",src_2026-09-05_sqlite-org_write-ahead-logging,"By default, SQLite will automatically checkpoint whenever a COMMIT occurs that causes the WAL file to be 1000 pages or more in size, or when the last database connection on a database file closes.",Section 3.1 Automatic Checkpoint,SQ-02,stable,,,
SQ-02-C010,"WAL requires all participating processes to share memory via the wal-index, which is why WAL is documented as not working over a network filesystem and requires all processes on the same host.",src_2026-09-05_sqlite-org_write-ahead-logging,All processes using a database must be on the same host computer; WAL does not work over a network filesystem. This is because WAL requires all processes to share a small amount of memory and processes on separate host machines obviously cannot share memory with each other.,"Section 1. Overview, disadvantages list item 1",SQ-02,stable,,,
SQ-02-C011,"Even WAL mode can return SQLITE_BUSY to a reader in specific documented cases: another connection holding EXCLUSIVE locking_mode, the last connection's brief exclusive cleanup lock on close, or another connection performing crash recovery.",src_2026-09-05_sqlite-org_write-ahead-logging,"This is mostly true. But there are some obscure cases where a query against a WAL-mode database can return SQLITE_BUSY, so applications should be prepared for that happenstance.",Section 9. Sometimes Queries Return SQLITE_BUSY In WAL Mode,SQ-02,stable,,,
SQ-02-C012,The fix for checkpoint starvation is ensuring 'reader gaps' (moments with zero active readers) during which checkpoints are attempted.,src_2026-09-05_sqlite-org_write-ahead-logging,"This scenario can be avoided by ensuring that there are ""reader gaps"": times when no processes are reading from the database and that checkpoints are attempted during those times.",Section 6. Avoiding Excessively Large WAL Files -- Checkpoint starvation,SQ-02,stable,,,
SQ-02-C013,"SQLITE_BUSY means the database could not be written (or sometimes read) due to concurrent activity by another connection; it specifically covers the case of two processes both trying to write, since SQLite allows only one writer at a time.",src_2026-09-05_sqlite-org_result-and-error-codes,"For example, if process A is in the middle of a large write transaction and at the same time process B attempts to start a new write transaction, process B will get back an SQLITE_BUSY result because SQLite only supports one writer at a time.",Section (5) SQLITE_BUSY,SQ-02,stable,,,
SQ-02-C014,"SQLITE_BUSY can occur at any point in a transaction; using BEGIN IMMEDIATE instead of plain BEGIN moves that risk to transaction start -- once BEGIN IMMEDIATE succeeds, no later operation up to COMMIT will return SQLITE_BUSY.",src_2026-09-05_sqlite-org_result-and-error-codes,"An SQLITE_BUSY error can occur at any point in a transaction: when the transaction is first started, during any write or update operations, or when the transaction commits. To avoid encountering SQLITE_BUSY errors in the middle of a transaction, the application can use BEGIN IMMEDIATE instead of just BEGIN to start a transaction.",Section (5) SQLITE_BUSY,SQ-02,stable,,,
SQ-02-C015,"SQLITE_BUSY is distinguished from SQLITE_LOCKED: BUSY means conflict with a separate connection/process, LOCKED means conflict within the same connection or a shared cache.",src_2026-09-05_sqlite-org_result-and-error-codes,"The SQLITE_BUSY result code differs from SQLITE_LOCKED in that SQLITE_BUSY indicates a conflict with a separate database connection, probably in a separate process, whereas SQLITE_LOCKED indicates a conflict within the same database connection (or sometimes a database connection with a shared cache).",Section (5) SQLITE_BUSY,SQ-02,stable,,,
SQ-02-C016,SQLITE_BUSY_SNAPSHOT (WAL only) occurs when a connection tries to promote its read transaction into a write transaction but another connection has already written and invalidated its earlier snapshot.,src_2026-09-05_sqlite-org_result-and-error-codes,The SQLITE_BUSY_SNAPSHOT error code is an extended error code for SQLITE_BUSY that occurs on WAL mode databases when a database connection tries to promote a read transaction into a write transaction but finds that another database connection has already written to the database and thus invalidated prior reads.,Section (517) SQLITE_BUSY_SNAPSHOT,SQ-02,stable,,,
SQ-02-C017,The busy handler is deliberately NOT invoked (SQLITE_BUSY returned immediately instead) whenever SQLite detects that invoking it could cause a deadlock -- e.g. one process trying to promote SHARED->RESERVED while another simultaneously tries to promote RESERVED->EXCLUSIVE.,src_2026-09-05_sqlite-org_register-a-callback-to-handle-sqlite-busy-errors,"If SQLite determines that invoking the busy handler could result in a deadlock, it will go ahead and return SQLITE_BUSY to the application instead of invoking the busy handler.",sqlite3_busy_handler documentation,SQ-02,stable,,,
SQ-02-C018,"Without a busy handler set (the default is NULL), SQLite returns SQLITE_BUSY immediately on any lock conflict -- PRAGMA busy_timeout / sqlite3_busy_timeout() exist to install a handler that retries for a bounded time instead.",src_2026-09-05_sqlite-org_register-a-callback-to-handle-sqlite-busy-errors,"If the busy callback is NULL, then SQLITE_BUSY is returned immediately upon encountering the lock.",sqlite3_busy_handler documentation,SQ-02,stable,,,
SQ-02-C019,"SQLite documents exactly three threading modes -- Single-thread (mutexes disabled, unsafe across threads), Multi-thread (safe across threads only if no single connection/object is used from two threads at once), and Serialized (any API call from any thread on any connection is safe, mutex-serialized) -- and the default compiled/runtime mode is Serialized.",src_2026-09-05_sqlite-org_using-sqlite-in-multi-threaded-applications,The default mode is serialized.,Section 1. Overview,SQ-02,stable,,,
SQ-02-C020,"In Serialized threading mode, concurrent API calls against the same SQLite connection from multiple threads are not parallelized -- they are serialized by mutex, giving the same result as if issued one at a time from a single thread.",src_2026-09-05_sqlite-org_using-sqlite-in-multi-threaded-applications,"The effect on an individual object is the same as if the API calls had all been made in the same order from a single thread. The name ""serialized"" arises from the fact that SQLite uses mutexes to serialize access to each object.","Section 1. Overview, item 3 Serialized",SQ-02,stable,,,
SQ-02-C021,"PRAGMA locking_mode=EXCLUSIVE makes a connection acquire the SHARED lock on first read and the EXCLUSIVE lock on first write and never release either lock again (until switched back to NORMAL and the file is accessed again), which shuts out every other connection -- readers included -- for as long as it is held.",src_2026-09-05_sqlite-org_pragma-statements-supported-by-sqlite,"When the locking-mode is set to EXCLUSIVE, the database connection never releases file-locks. The first time the database is read in EXCLUSIVE mode, a shared lock is obtained and held. The first time the database is written, an exclusive lock is obtained and held.",PRAGMA locking_mode section,SQ-02,stable,,,
SQ-02-C022,"The default journal_size_limit is -1 (no limit), meaning rollback-journal and WAL files are left to grow to whatever size a transaction/checkpoint produced unless this pragma is explicitly set.",src_2026-09-05_sqlite-org_pragma-statements-supported-by-sqlite,The default journal size limit is -1 (no limit).,PRAGMA journal_size_limit section,SQ-02,stable,,,
SQ-02-C023,"FTS5 stores its index as a series of on-disk b-trees rather than one structure; every committed transaction adds a new small b-tree, and queries must consult and merge every existing b-tree, so the 'merge'/'optimize' commands exist to collapse these back down (auto-merge default threshold 4, max 16; crisis-merge default 16).",src_2026-09-05_sqlite-org_fts5-extension,The maximum allowed value for the 'automerge' parameter is 16. The default value is 4.,"FTS5 docs, automerge section (degraded capture, treat as probable not exact)",SQ-02,stable,,,
SQ-02-C024,"FTS5's 'merge' command is explicitly documented as safe to run incrementally across separate transactions and from different database clients (i.e. it is designed to be called repeatedly by concurrent/successive connections, not just one writer in one shot).",src_2026-09-05_sqlite-org_fts5-extension,"The merge commands may be issued as part of the same or separate transactions, and by the same or different database clients.","FTS5 docs, optimize section (degraded capture, treat as probable not exact)",SQ-02,stable,,,
SQ-02-C025,"In a real-world SQLite-forum report, an ordinary WAL checkpoint-starvation case turned out to be caused by leftover unreset prepared statements holding a read transaction open; SQLite's maintainer clarified that COMMIT does not close a read transaction, it only downgrades a write transaction into one, and that sqlite3_reset() on pending statements is what actually releases it.",src_2026-09-05_sqlite-org_sqlite-forum-checkpoint-starvation-connections-vs-transactio,COMMIT does not cancel a pending read transaction - it merely downgrades a write transaction into a read transaction.,"Forum thread, reply attributed to drh (degraded capture -- paraphrase surrounds this quoted fragment)",SQ-02,slow,,,
SQ-03-C001,"multilingual-e5-small: 384-dim output, ~0.1B params, MIT license, 512-token max input",src_2026-09-05_huggingface-co_intfloat-multilingual-e5-small-model-card,Long texts will be truncated to at most 512 tokens.,model card body,SQ-03,stable,,,
SQ-03-C002,"multilingual-e5-small requires query:/passage: prefixes on all inputs, including non-English",src_2026-09-05_huggingface-co_intfloat-multilingual-e5-small-model-card,"Each input text should start with 'query: ' or 'passage: ', even for non-English texts.",model card body,SQ-03,stable,,,
SQ-03-C003,"multilingual-e5-base: 768-dim output, ~0.3B params, MIT license, covers 100 xlm-roberta languages with degradation on low-resource ones",src_2026-09-05_huggingface-co_intfloat-multilingual-e5-base-model-card,"100 languages from xlm-roberta, but low-resource languages may see performance degradation.",model card body,SQ-03,stable,,,
SQ-03-C004,"BGE-M3 use_fp16=True (a form of quantization) speeds up computation with a slight performance degradation, per the model's own usage instructions",src_2026-09-05_huggingface-co_baai-bge-m3-model-card,Setting use_fp16 to True speeds up computation with a slight performance degradation,usage code comment,SQ-03,stable,,,
SQ-03-C005,"jina-embeddings-v3: Matryoshka embeddings truncatable to 32-1024 dims, 8192 max sequence length, 30 languages, CC BY-NC 4.0 license (non-commercial; commercial use requires contacting Jina AI)",src_2026-09-05_huggingface-co_jina-embeddings-v3-model-card-degraded-capture,a multilingual multi-task text embedding model designed for a variety of NLP applications,"overview (DEGRADED capture, treat cautiously)",SQ-03,stable,,,
SQ-03-C006,"ONNX Runtime's default CPU execution provider sets intra-op thread count to the number of physical cores, and the calling thread itself participates in and blocks on that computation",src_2026-09-05_onnxruntime-ai_onnx-runtime-thread-management-official-docs,each session will start with the main thread on the 1st core (not affinitized). Then extra threads per additional physical core are created,Set number of intra-op threads,SQ-03,slow,,,
SQ-03-C007,"transformers.js runs in-process: it uses onnxruntime-node directly when executed under Node.js (onnxruntime-web/WASM only in the browser), not a separate server process",src_2026-09-05_huggingface-co_transformers-js-backends-onnx-api-docs-official,"When running in node, we use onnxruntime-node.",backends/onnx module doc,SQ-03,slow,,,
SQ-03-C008,transformers.js documents that it cannot run multiple ONNX sessions' loading or inference simultaneously in its WASM/WebGPU backend and must chain (serialize) such calls,src_2026-09-05_huggingface-co_transformers-js-backends-onnx-api-docs-official,"Currently, Transformers.js doesn't support simultaneous execution of sessions in WASM/WebGPU. For this reason, we need to chain the inference calls (otherwise we get ""Error: Session already started"").",webInferenceChain doc,SQ-03,slow,,,
SQ-03-C009,"fastembed-js runs in-process in Node via native ONNX Runtime bindings, with a batch API defaulting to batch size 256, and lists intfloat/multilingual-e5-large as its one multilingual model option",src_2026-09-05_raw-githubusercontent-com_fastembed-js-readme-official-raw,"FastEmbed is fast because: 1. Quantized model weights 2. ONNX Runtime which allows for inference on CPU, GPU, and other dedicated runtimes",Under the hood,SQ-03,stable,,,
SQ-03-C010,"Ollama documents its own concurrency defaults: OLLAMA_NUM_PARALLEL auto-selects 4 or 1 parallel requests per model depending on available memory, OLLAMA_MAX_LOADED_MODELS defaults to 3 for CPU inference, and OLLAMA_MAX_QUEUE defaults to 512 queued requests before returning 503",src_2026-09-05_ollama-readthedocs-io_ollama-faq-concurrent-request-handling-official-docs,OLLAMA_NUM_PARALLEL - The maximum number of parallel requests each model will process at the same time. The default will auto-select either 4 or 1 based on available memory.,How does Ollama handle concurrent requests?,SQ-03,slow,,,
SQ-03-C011,"Infinity is an out-of-process FastAPI/asyncio REST server for embeddings that documents its own concurrency as dynamic batching plus asyncio-based concurrent request handling with dedicated tokenizer worker threads, and supports CPU via its optimum(ONNX Runtime) engine including experimental int8 quantization",src_2026-09-05_raw-githubusercontent-com_michaelfeil-infinity-readme-official-raw-out-of-process-embe,Infinity uses dynamic batching and tokenization dedicated in worker threads.,Why Infinity,SQ-03,slow,,,
SQ-03-C012,Infinity's own Python API is asyncio-based specifically to allow concurrent processing of requests,src_2026-09-05_raw-githubusercontent-com_michaelfeil-infinity-readme-official-raw-out-of-process-embe,"The Python API builds on asyncio with its await/async features, to allow concurrent processing of requests.",Infinity usage via the Python API,SQ-03,slow,,,
SQ-03-C013,"A semantic-cache study on LLM chatbot query traffic found 61.6%-68.8% cache-hit rates when caching by query-embedding similarity, evidence that repeat/near-duplicate queries are common enough to make query-embedding caching worthwhile in a live traffic pattern (though this paper caches to skip LLM calls, not embedding computation itself)",src_2026-09-05_arxiv-2411-05276_gpt-semantic-cache-reducing-llm-costs-and-latency-via-semant,"Our experiments demonstrate that GPT Semantic Cache reduces API calls by up to 68.8% across various query categories, with cache hit rates ranging from 61.6% to 68.8%.",abstract,SQ-03,slow,,,
SQ-03-C014,"A 2024 HF/Intel blog claims quantized BGE embedding models on Intel Xeon (Optimum Intel/IPEX) reach under 1% accuracy loss on reranking tasks and up to 4.5x latency speedup, reaching under 20ms for large models -- but the capture did not preserve which BGE size, exact CPU SKU, thread count, sequence length or batch size these figures apply to, so the number is DISCARDED per task rules pending conditions",src_2026-09-05_huggingface-co_cpu-optimized-embeddings-with-optimum-intel-and-fastrag-hf-b,"Optimum Intel includes several techniques to accelerate models such as low-bit quantization, model weight pruning, distillation, and an accelerated runtime.",Optimization Techniques,SQ-03,volatile,,,
SQ-03-C015,"paraphrase-multilingual-MiniLM-L12-v2 maps text to a 384-dimensional dense vector space (BERT-based, mean pooling, 50+ languages)",src_2026-09-05_huggingface-co_paraphrase-multilingual-minilm-l12-v2-model-card-raw-readme,384-dimensional dense vector space,model card intro,SQ-03,stable,,,
SQ-03-C016,"Personal CPU benchmark (single-thread/single-connection, AMD EPYC 7702P, llama.cpp, GGUF-quantized): a 107M-param multilingual embedding model sustains roughly 50 requests/sec/core on short queries and 6 req/sec/core on paragraph-length input, with the two larger models tested (278M, 300M) handling far less load on the same hardware",src_2026-09-05_paulw-tokyo_text-embedding-inference-on-a-cheap-server-personal-blog-lla,"The larger models can only handle a small load on this machine, but the 100M parameters one can already run at about 50 rps/core on short queries and 6 rps/core on more substantial chunks of text. Not bad!",results discussion,SQ-03,volatile,,,
SQ-03-C017,"A discontinued 2022 vendor CPU benchmark (DistilBERT classification, not embeddings, but same transformer-encoder cost class) found an optimized CPU runtime achieving 1-4ms latency at batch size 1 for sequences up to 64 tokens on a 2-physical-core Ice Lake Xeon",src_2026-09-05_huggingface-co_hf-infinity-cpu-latency-case-study-distilbert-discontinued-p,1-4ms latency for sequences up to 64 tokens,Key Findings,SQ-03,stable,,,
SQ-03-C018,BGE-M3 supports more than 100 working languages,src_2026-09-05_huggingface-co_baai-bge-m3-model-card,Multi-Linguality: more than 100 working languages,specs summary,SQ-03,stable,,,
SQ-04-C001,"Elasticsearch's default refresh behavior does not make a write visible to search immediately; the refresh=false default only guarantees the change becomes visible at some point after the request returns, with automatic refresh happening on index.refresh_interval (1s default).",src_2026-09-05_elastic-co_the-refresh-parameter-elasticsearch-reference,"Unless you have a good reason to wait for the change to become visible, always use refresh=false (the default setting).",Choosing which setting to use,SQ-04,stable,,,
SQ-04-C002,"Elasticsearch explicitly warns that forcing an immediate refresh per write (refresh=true) should only be done after careful thought because it can hurt both indexing and search performance, since it creates inefficient tiny segments that must later be merged.",src_2026-09-05_elastic-co_the-refresh-parameter-elasticsearch-reference,"This should ONLY be done after careful thought and verification that it does not lead to poor performance, both from an indexing and a search standpoint.",refresh parameter values,SQ-04,stable,,,
SQ-04-C003,"Elasticsearch's refresh=true creates many tiny index segments that must later be merged, so the true cost of forcing a refresh is paid three times: at index time (creating the segment), at search time (searching the extra small segment), and at merge time.",src_2026-09-05_elastic-co_the-refresh-parameter-elasticsearch-reference,"true creates less efficient indexes constructs (tiny segments) that must later be merged into more efficient index constructs (larger segments). Meaning that the cost of true is paid at index time to create the tiny segment, at search time to search the tiny segment, and at merge time to make the larger segments.",Choosing which setting to use,SQ-04,stable,,,
SQ-04-C004,"Elasticsearch offers refresh=wait_for as a cheaper alternative to refresh=true: it does not force an immediate refresh but blocks the response until the normal periodic refresh happens, and it can itself force a refresh if a shard already has 1000 (index.max_refresh_listeners) requests waiting.",src_2026-09-05_elastic-co_the-refresh-parameter-elasticsearch-reference,If a refresh=wait_for request comes in when there are already index.max_refresh_listeners (defaults to 1000) requests waiting for a refresh on that shard then that request will behave just as though it had refresh set to true instead: it will force a refresh.,refresh=wait_for can force a refresh,SQ-04,stable,,,
SQ-04-C005,"Apache Solr names the same near-real-time tradeoff as 'soft commit' (fast, visibility only, no fsync, no new transaction log) versus 'hard commit' (fsync to stable storage, closes/opens the transaction log, more expensive) -- soft commits are recommended for NRT but the guide still calls them non-free ('soft commits still incur costs').",src_2026-09-05_solr-apache-org_commits-and-transaction-logs-apache-solr-reference-guide,"A soft commit is faster since it only makes index changes visible without calling fsync on index files, starting a new segment, or opening a new transaction log.",Hard Commits vs. Soft Commits,SQ-04,stable,,,
SQ-04-C006,"Solr's own guidance is to pick as long a soft-commit interval as the application can tolerate, commonly 15-60 seconds, rather than forcing sub-second visibility.",src_2026-09-05_solr-apache-org_commits-and-transaction-logs-apache-solr-reference-guide,"Choose as long an interval as your application tolerates for this value—often 15-60 seconds is reasonable, or even longer depending on requirements.",AutoCommit Best Practices,SQ-04,stable,,,
SQ-04-C007,"The transactional outbox pattern's guarantee is that a message/event is sent if and only if the originating database transaction commits, by writing the event to an outbox table in the same transaction and having a separate relay process publish it afterward -- i.e. the durable write and the derived-index update are deliberately decoupled and reconciled asynchronously rather than done atomically together.",src_2026-09-05_microservices-io_pattern-transactional-outbox-microservices-io,Messages are guaranteed to be sent if and only if the database transaction commits.,Solution,SQ-04,stable,,,
SQ-04-C008,"The transactional outbox pattern's documented drawback is that the relay can publish duplicates, so consumers (here: the index-updater) must be idempotent.",src_2026-09-05_microservices-io_pattern-transactional-outbox-microservices-io,The message relay may publish duplicates (requiring idempotent consumers),Drawbacks and Considerations,SQ-04,stable,,,
SQ-04-C009,"SQLite FTS5 does not do a single global rewrite per write: inserts create small new b-tree segments and an incremental 'automerge' process (default trigger threshold 4, max 16) merges them in the background; a full 'optimize' merges everything into one structure and can take a long time, which is why SQLite recommends splitting it into repeated bounded 'merge' calls instead.",src_2026-09-05_sqlite-org_sqlite-fts5-extension-automerge-crisismerge-merge-optimize,INSERT INTO ft(ft) VALUES('optimize');,The 'optimize' Command,SQ-04,stable,,,
SQ-04-C010,"Azure AI Search's documented RRF worked example only sums an initial rank-score for a document from the legs (queries) in which that document actually appears as a ranked hit; a document that shows up in fewer than all the fused legs still gets ranked, just with fewer terms summed into its final score -- there is no explicit exclusion or zero-score penalty language, but no compensation either.",src_2026-09-05_learn-microsoft-com_relevance-scoring-in-hybrid-search-using-reciprocal-rank-fus,"Assume a document shows up in three separate search results, where the results are from two vector queries and one text BM25-ranked query.",Weighted scores,SQ-04,stable,,,
SQ-04-C011,"Elasticsearch's own RRF formula is a per-query summation (score += 1.0 / (k + rank)) evaluated once per child retriever a document appears in -- so a document present in the lexical result set but entirely absent from the vector (semantic) result set, or vice versa, is not disqualified from the fused ranking, it simply never receives a score contribution from the leg it is missing from and so ranks lower than a document found by both legs.",src_2026-09-05_elastic-co_reciprocal-rank-fusion-elasticsearch-reference,"score += 1.0 / (k + rank(result(q), d))",Key Mechanism,SQ-04,stable,,,
SQ-04-C012,"Google Cloud's Config Connector documents 'reconciliation' as a named, first-class mechanism: a controller continuously (re)compares declared desired state to actual state and corrects drift on a periodic cycle -- 'with every update or after a jitter period with an average based on the preconfigured default interval' -- with configurable interval and exponential-backoff retries on error, illustrating the general reconciliation-sweep pattern applicable to a lagging derived index.",src_2026-09-05_docs-cloud-google-com_reconciliation-strategy-in-config-connector-google-cloud,with every update or after a jitter period with an average based on the preconfigured default interval,How Reconciliation Works,SQ-04,stable,,,
SQ-04-C013,"Khoj, a file-backed personal knowledge tool with semantic search, documents embedding computation as tied to an explicit 'sync' action rather than continuous on-save indexing: 'When you sync you documents with Khoj, it uses the bi-encoder model to create and store meaning vectors of (chunks of) your documents.' It also requires a full manual re-index if the embedding model changes.",src_2026-09-05_docs-khoj-dev_search-khoj-ai,"When you sync you documents with Khoj, it uses the bi-encoder model to create and store meaning vectors of (chunks of) your documents",Implementation Overview,SQ-04,stable,,,
SQ-04-C014,"Smart Connections (a semantic-search plugin for the file-based Obsidian note vault) documents that it does NOT re-embed synchronously on every save: edits are debounced by a configurable 'Re-import wait time' ('Time in seconds to wait before re-importing a file after modification') before background re-embedding runs, and the product surfaces an explicit changed-file counter plus manual 'Embed now' / 'Re-index embeddings' triggers and a Ready/not-ready status rather than promising immediate post-save freshness.",src_2026-09-05_smartconnections-app_smart-environment-settings-smart-connections-obsidian,Time in seconds to wait before re-importing a file after modification.,Re-import wait time (PRO),SQ-04,stable,,,
SQ-05-C001,"Martin Thompson defines the Single Writer Principle: each item of data/resource should be owned by a single execution context for all mutations, avoiding locks/CAS contention and giving deterministic, cache-friendly performance.",src_2026-09-05_mechanical-sympathy-blogspot-com_mechanical-sympathy-single-writer-principle,"The Single Writer Principle is that for any item of data, or resource, that item of data should be owned by a single execution context for all mutations.",Summary section,SQ-05,stable,,,
